regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
NO_POLICY,0.85,0.005,y,0.00525578545402361,0.00525578545402361,0,0.0422804269841812,6
NO_POLICY,0.85,0.005,c,0.000923486022345488,0.00111236832542883,5,0.0205825636414986,NaN
NO_POLICY,0.85,0.005,iv,0.00433229943167815,0.00433229943167815,0,0.0216978633426823,4
NO_POLICY,0.85,0.005,l,0.000526583217958426,0.000526583217958426,0,0.00174935022042896,4
NO_POLICY,0.85,0.005,mc,0.000171867508790058,0.000171867508790058,0,0.000785878518906546,4
NO_POLICY,0.85,0.005,pie,5.76594102137395e-05,5.76594102137395e-05,0,-0.000228738285901864,2
NO_POLICY,0.85,0.005,z,0.00236510345431062,0.00236510345431062,0,0.0190261921428815,6
NO_POLICY,0.85,0.005,u,0,0,0,0,0
NO_POLICY,0.85,0.005,pz,4.93038065763132e-34,6.65426858717873e-34,1,7.78393543460351e-33,10
NO_POLICY,0.85,0.005,rnom,0.000174725485496241,0.000174725485496241,0,-0.000693146320914995,2
NO_POLICY,0.85,0.01,y,0.0105115709080473,0.0105115709080473,0,0.0845608539683627,6
NO_POLICY,0.85,0.01,c,0.00184697204469098,0.00222473665085765,5,0.041165127282997,NaN
NO_POLICY,0.85,0.01,iv,0.00866459886335633,0.00866459886335633,0,0.0433957266853646,4
NO_POLICY,0.85,0.01,l,0.00105316643591685,0.00105316643591685,0,0.00349870044085793,4
NO_POLICY,0.85,0.01,mc,0.000343735017580227,0.000343735017580227,0,0.00157175703781365,4
NO_POLICY,0.85,0.01,pie,0.000115318820427479,0.000115318820427479,0,-0.000457476571803839,2
NO_POLICY,0.85,0.01,z,0.0047302069086213,0.0047302069086213,0,0.0380523842857634,6
NO_POLICY,0.85,0.01,u,0,0,0,0,0
NO_POLICY,0.85,0.01,pz,9.86076131526265e-34,1.33085371743575e-33,1,1.5567870869207e-32,10
NO_POLICY,0.85,0.01,rnom,0.000349450970992482,0.000349450970992482,0,-0.00138629264182955,2
NO_POLICY,0.85,0.02,y,0.0210231418160947,0.0210231418160947,0,0.169121707936726,6
NO_POLICY,0.85,0.02,c,0.00369394408938195,0.00444947330171519,5,0.0823302545659944,NaN
NO_POLICY,0.85,0.02,iv,0.0173291977267127,0.0173291977267127,0,0.0867914533707293,4
NO_POLICY,0.85,0.02,l,0.0021063328718337,0.0021063328718337,0,0.00699740088171583,4
NO_POLICY,0.85,0.02,mc,0.000687470035160453,0.000687470035160453,0,0.00314351407562741,4
NO_POLICY,0.85,0.02,pie,0.000230637640854958,0.000230637640854958,0,-0.000914953143607677,2
NO_POLICY,0.85,0.02,z,0.00946041381724261,0.00946041381724261,0,0.0761047685715266,6
NO_POLICY,0.85,0.02,u,0,0,0,0,0
NO_POLICY,0.85,0.02,pz,1.97215226305253e-33,2.66170743487149e-33,1,3.1135741738414e-32,10
NO_POLICY,0.85,0.02,rnom,0.000698901941984742,0.000698901941984742,0,-0.00277258528365953,2
NO_POLICY,0.95,0.005,y,0.00486057205168677,0.00486057205168677,0,0.0752049257717808,NaN
NO_POLICY,0.95,0.005,c,0.00143811498448276,0.00194197957556508,12,0.0383071275847497,NaN
NO_POLICY,0.95,0.005,iv,0.00342245706720404,0.00342245706720404,0,0.0368977981870298,10
NO_POLICY,0.95,0.005,l,0.000374192513335009,0.000374192513335009,0,0.00275958398683632,7
